filename,label,has_horizon,has_stars,sharp,bright_enough,not_noisy,flickering
IC3521-H01_265_326_6.jpg,rejected,False,False,True,True,False,True
IC3521-H01_265_781_6.jpg,rejected,False,False,True,True,False,True
IC3521-H01_292_306_6.jpg,rejected,False,False,True,True,False,True
IC3521-H01_366_1773_6.jpg,rejected,False,False,True,True,False,True
IC3521-H01_456_509_6.jpg,rejected,False,False,True,True,False,True
IC3521-H01_481_1291_6.jpg,rejected,False,False,True,True,False,True
IC3521-H01_484_742_6.jpg,rejected,False,True,True,True,False,True
IC3521-H01_495_966_6.jpg,rejected,False,False,True,True,False,True
IC3521-H01_55_46_6.jpg,rejected,False,False,True,True,False,True
IC3521-H01_623_1625_6.jpg,rejected,False,False,True,True,False,True
IC3521-H01_827_1693_6.jpg,rejected,False,False,True,True,False,True
IC3521-H01_88_1482_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1004_1144_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_101_415_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1050_592_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1092_1180_6.jpg,rejected,False,True,True,True,False,True
IC745_H01_1113_710_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1117_1551_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1167_918_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1196_532_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1199_1192_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1202_1451_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1274_932_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1284_322_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1286_997_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1296_755_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1301_779_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1314_1237_6.jpg,rejected,False,True,True,True,False,True
IC745_H01_1346_1908_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1372_838_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1418_1215_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1429_701_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1449_692_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1457_759_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1459_1334_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1484_746_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1510_699_6.jpg,rejected,False,False,True,True,False,True
IC745_H01_1526_1132_6.jpg,rejected,False,False,True,True,False,True
